"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Brentwood NY"	"NY"	58954	40.78	-73.25	0
"Brewster MA"	"MA"	52153	41.77	-70.08	0
"Brick NJ"	"NJ"	82400	40.06	-74.11	0
"Bridgeport CT"	"CT"	138901	41.19	-73.2	0
"Bridgewater MA"	"MA"	50237	41.99	-70.97	0
"Bristol CT"	"CT"	61166	41.68	-72.94	0
"Brockton MA"	"MA"	94945	42.08	-71.03	0
"Broken Arrow OK"	"OK"	86817	36.04	-95.79	0
"Brookfield WI"	"WI"	40323	43.06	-88.12	0
"Brookline MA"	"MA"	55862	42.32	-71.14	0
"Brooklyn Park MN"	"MN"	67660	45.11	-93.35	0
"Broomfield CO"	"CO"	45869	39.94	-105.06	0
"Brownsville TX"	"TX"	174135	25.93	-97.48	0
"Bryan TX"	"TX"	70386	30.67	-96.37	0
"Buena Park CA"	"CA"	79388	33.86	-118	0
"Buffalo Grove IL"	"IL"	43355	42.17	-87.96	0
"Buffalo NY"	"NY"	276762	42.89	-78.86	0
"Burbank CA"	"CA"	105515	34.19	-118.33	0
"Burke VA"	"VA"	58270	38.78	-77.27	0
"Burlington NC"	"NC"	47290	36.08	-79.45	0
"Burnsville MN"	"MN"	59357	44.76	-93.28	0
"Camarillo CA"	"CA"	63560	34.22	-119.03	0
"Cambridge MA"	"MA"	101342	42.38	-71.12	0
"Camden NJ"	"NJ"	80393	39.94	-75.11	0
"Canton MI"	"MI"	89064	42.31	-83.48	0
"Canton OH"	"OH"	77575	40.81	-81.37	0
"Cape Coral FL"	"FL"	137134	26.64	-82	0
"Carlsbad CA"	"CA"	93848	33.12	-117.29	0
"Carmel IN"	"IN"	49188	39.97	-86.11	0
"Carmichael CA"	"CA"	51165	38.63	-121.32	0
"Carol City FL"	"FL"	63659	25.94	-80.27	0
"Carol Stream IL"	"IL"	39749	41.92	-88.13	0
"Carrollton TX"	"TX"	123154	32.99	-96.9	0
"Carson CA"	"CA"	96933	33.84	-118.26	0
"Carson City NV"	"NV"	58350	39.15	-119.74	2
"Cary NC"	"NC"	106117	35.78	-78.8	0
"Casas Adobes AZ"	"AZ"	84988	32.32	-110.99	0
"Casper WY"	"WY"	51808	42.83	-106.33	0
"Castle Rock CO"	"CO"	43905	39.38	-104.85	0
"Castro Valley CA"	"CA"	63908	37.71	-122.06	0
"Catalina Foothills AZ"	"AZ"	84369	32.3	-110.92	0
"Cathedral City CA"	"CA"	55253	33.83	-116.46	0
"Catonsville MD"	"MD"	43406	39.26	-76.74	0
"Cedar Hill TX"	"TX"	46869	32.58	-96.96	0
"Cedar Park TX"	"TX"	58499	30.51	-97.83	0
"Cedar Rapids IA"	"IA"	123243	41.97	-91.67	0
"Centennial CO"	"CO"	95961	39.6	-104.85	0
"Centreville VA"	"VA"	69167	38.85	-77.44	0
"Ceres CA"	"CA"	41223	37.6	-120.96	0
"Cerritos CA"	"CA"	53616	33.87	-118.07	0
"Champaign IL"	"IL"	76999	40.11	-88.26	0
"Chandler AZ"	"AZ"	247915	33.3	-111.87	0
"Chantilly VA"	"VA"	50103	38.88	-77.41	0
"Chapel Hill NC"	"NC"	47613	35.93	-79.04	0
"Charleston SC"	"SC"	106372	32.79	-79.99	0
"Charleston WV"	"WV"	49804	38.35	-81.63	2
"Charlotte NC"	"NC"	607111	35.2	-80.83	0
"Chattanooga TN"	"TN"	153617	35.07	-85.26	0
"Cheektowaga NY"	"NY"	76785	42.91	-78.75	0
"Cherry Hill PA"	"PA"	70489	39.9	-75	0
"Chesapeake VA"	"VA"	223222	36.68	-76.31	0
"Chesterfield MO"	"MO"	47202	38.65	-90.58	0
"Cheyenne WY"	"WY"	55833	41.15	-104.79	2
"Chicago IL"	"IL"	2830144	41.84	-87.68	0
"Chico CA"	"CA"	71997	39.75	-121.81	0
"Chicopee MA"	"MA"	55222	42.18	-72.57	0
"Chino CA"	"CA"	77147	34.01	-117.69	0
"Chino Hills CA"	"CA"	80817	33.97	-117.75	0
"Chula Vista CA"	"CA"	221736	32.63	-117.04	0
"Cicero IL"	"IL"	80414	41.84	-87.76	0
"Cincinnati OH"	"OH"	301561	39.14	-84.51	0
"Citrus Heights CA"	"CA"	90277	38.69	-121.29	0
"Clarksville TN"	"TN"	113379	36.56	-87.35	0
"Clearwater FL"	"FL"	107866	27.98	-82.77	0
"Cleveland Heights OH"	"OH"	47123	41.51	-81.56	0
"Cleveland OH"	"OH"	443949	41.48	-81.68	0
"Clifton NJ"	"NJ"	80446	40.86	-74.16	0
"Clinton MI"	"MI"	100517	42.59	-82.92	0
"Clovis CA"	"CA"	90115	36.82	-119.7	0
"Coconut Creek FL"	"FL"	51848	26.28	-80.18	0
"Coeur d'Alene ID"	"ID"	40270	47.7	-116.78	0
"College Station TX"	"TX"	80627	30.6	-96.31	0
"Colorado Springs CO"	"CO"	375744	38.86	-104.76	0
"Colton CA"	"CA"	53281	34.06	-117.32	0
"Columbia MD"	"MD"	97772	39.2	-76.86	0
"Columbia MO"	"MO"	92756	38.95	-92.33	0
"Columbia SC"	"SC"	118020	34.04	-80.89	2
"Columbus GA"	"GA"	184900	32.51	-84.87	0
"Columbus IN"	"IN"	39453	39.21	-85.91	0
"Columbus OH"	"OH"	741677	39.99	-82.99	2
"Compton CA"	"CA"	97338	33.89	-118.23	0
"Concord CA"	"CA"	126360	37.97	-122	0
"Concord NC"	"NC"	61640	35.41	-80.59	0
"Concord NH"	"NH"	42967	43.23	-71.56	2
